farm_id,typology,phase,cluster,emphasis,food_connections,social_connections,cultural_connections
0,podium,2,Low-Activity,Biodiversity Enhancement,0,0,0
1,podium,2,Low-Activity,Biodiversity Enhancement,0,0,0
2,podium,2,Socio-Economic,Cultural Activities,934,0,67
3,podium,2,Low-Activity,Biodiversity Enhancement,0,0,0
4,podium,1,Low-Activity,Biodiversity Enhancement,0,0,0
5,podium,2,Low-Activity,Biodiversity Enhancement,0,0,0
6,podium,1,Economic-Only,Social + Cultural Activities,1031,63,84
7,podium,1,Economic-Only,Social + Cultural Activities,1027,63,85
8,podium,3,Low-Activity,Biodiversity Enhancement,0,0,0
9,podium,1,Economic-Only,Social + Cultural Activities,1012,49,72
10,rooftops,1,Low-Activity,Biodiversity Enhancement,0,0,0
11,rooftops,1,Low-Activity,Biodiversity Enhancement,0,0,0
12,rooftops,2,Low-Activity,Biodiversity Enhancement,0,0,0
13,rooftops,1,Economic-Only,Social + Cultural Activities,1533,53,80
14,rooftops,1,Low-Activity,Biodiversity Enhancement,0,0,0
15,rooftops,3,Low-Activity,Biodiversity Enhancement,0,0,0
16,rooftops,3,Low-Activity,Biodiversity Enhancement,0,0,0
17,rooftops,1,Economic-Only,Social + Cultural Activities,1111,29,39
18,rooftops,1,Economic-Only,Social + Cultural Activities,1099,29,39
19,rooftops,1,Socio-Economic,Cultural Activities,1118,0,39
20,rooftops,1,Low-Activity,Biodiversity Enhancement,0,0,0
21,rooftops,1,Low-Activity,Biodiversity Enhancement,0,0,0
22,rooftops,1,Low-Activity,Biodiversity Enhancement,0,0,0
23,rooftops,2,Economic-Only,Social + Cultural Activities,1290,70,100
24,rooftops,1,Economic-Only,Social + Cultural Activities,1307,75,100
25,rooftops,1,Economic-Only,Social + Cultural Activities,1293,74,102
26,rooftops,2,Low-Activity,Biodiversity Enhancement,0,0,0
27,rooftops,1,Low-Activity,Biodiversity Enhancement,0,0,0
28,rooftops,1,Low-Activity,Biodiversity Enhancement,0,0,0
29,rooftops,1,Economic-Only,Social + Cultural Activities,1521,50,81
30,streetscapes,1,Low-Activity,Biodiversity Enhancement,0,0,0
31,streetscapes,1,Low-Activity,Biodiversity Enhancement,0,0,0
32,streetscapes,1,Low-Activity,Biodiversity Enhancement,0,0,0
33,streetscapes,2,Low-Activity,Biodiversity Enhancement,0,0,0
34,streetscapes,2,Low-Activity,Biodiversity Enhancement,0,0,0
35,streetscapes,2,Low-Activity,Biodiversity Enhancement,0,0,0
36,streetscapes,2,Low-Activity,Biodiversity Enhancement,0,0,0
37,streetscapes,2,Low-Activity,Biodiversity Enhancement,0,0,0
38,streetscapes,1,Low-Activity,Biodiversity Enhancement,0,0,0
