farm_id,typology,phase,cluster,emphasis,food_connections,social_connections,cultural_connections
0,podium,2,Low-Activity,Biodiversity,0,0,0
1,podium,2,Low-Activity,Biodiversity,0,0,0
2,podium,2,Socio-Economic,Cultural Activities,650,0,46
3,podium,2,Low-Activity,Biodiversity,0,0,0
4,podium,1,Low-Activity,Biodiversity,0,0,0
5,podium,2,Low-Activity,Biodiversity,0,0,0
6,podium,1,Economic-Only,Social + Cultural,584,26,44
7,podium,1,Economic-Only,Social + Cultural,652,28,45
8,podium,3,Low-Activity,Biodiversity,0,0,0
9,podium,1,Economic-Only,Social + Cultural,432,20,24
0,rooftops,1,Low-Activity,Biodiversity,0,0,0
1,rooftops,1,Low-Activity,Biodiversity,0,0,0
2,rooftops,2,Low-Activity,Biodiversity,0,0,0
3,rooftops,1,Economic-Only,Social + Cultural,810,31,49
4,rooftops,1,Low-Activity,Biodiversity,0,0,0
5,rooftops,3,Low-Activity,Biodiversity,0,0,0
6,rooftops,3,Low-Activity,Biodiversity,0,0,0
7,rooftops,1,Economic-Only,Social + Cultural,774,18,27
8,rooftops,1,Economic-Only,Social + Cultural,754,17,27
9,rooftops,1,Socio-Economic,Cultural Activities,773,0,28
10,rooftops,1,Low-Activity,Biodiversity,0,0,0
11,rooftops,1,Low-Activity,Biodiversity,0,0,0
12,rooftops,1,Low-Activity,Biodiversity,0,0,0
13,rooftops,2,Economic-Only,Social + Cultural,764,46,67
14,rooftops,1,Economic-Only,Social + Cultural,719,42,62
15,rooftops,1,Economic-Only,Social + Cultural,767,46,66
16,rooftops,2,Low-Activity,Biodiversity,0,0,0
17,rooftops,1,Low-Activity,Biodiversity,0,0,0
18,rooftops,1,Low-Activity,Biodiversity,0,0,0
19,rooftops,1,Economic-Only,Social + Cultural,891,25,42
0,streetscapes,1,Low-Activity,Biodiversity,0,0,0
1,streetscapes,1,Low-Activity,Biodiversity,0,0,0
2,streetscapes,1,Low-Activity,Biodiversity,0,0,0
3,streetscapes,2,Low-Activity,Biodiversity,0,0,0
4,streetscapes,2,Low-Activity,Biodiversity,0,0,0
5,streetscapes,2,Low-Activity,Biodiversity,0,0,0
6,streetscapes,2,Low-Activity,Biodiversity,0,0,0
7,streetscapes,2,Low-Activity,Biodiversity,0,0,0
8,streetscapes,1,Low-Activity,Biodiversity,0,0,0
9,streetscapes,1,Low-Activity,Biodiversity,0,0,0
10,streetscapes,1,Low-Activity,Biodiversity,0,0,0
11,streetscapes,1,Low-Activity,Biodiversity,0,0,0
12,streetscapes,1,Low-Activity,Biodiversity,0,0,0
13,streetscapes,1,Low-Activity,Biodiversity,0,0,0
14,streetscapes,1,Low-Activity,Biodiversity,0,0,0
15,streetscapes,1,Low-Activity,Biodiversity,0,0,0
16,streetscapes,1,Low-Activity,Biodiversity,0,0,0
17,streetscapes,1,Low-Activity,Biodiversity,0,0,0
18,streetscapes,3,Low-Activity,Biodiversity,0,0,0
19,streetscapes,1,Low-Activity,Biodiversity,0,0,0
20,streetscapes,2,Low-Activity,Biodiversity,0,0,0
21,streetscapes,3,Low-Activity,Biodiversity,0,0,0
22,streetscapes,3,Low-Activity,Biodiversity,0,0,0
23,streetscapes,3,Low-Activity,Biodiversity,0,0,0
24,streetscapes,1,Low-Activity,Biodiversity,0,0,0
25,streetscapes,1,Low-Activity,Biodiversity,0,0,0
26,streetscapes,1,Low-Activity,Biodiversity,0,0,0
27,streetscapes,1,Low-Activity,Biodiversity,0,0,0
28,streetscapes,1,Economic-Only,Social + Cultural,575,33,53
29,streetscapes,1,Economic-Only,Social + Cultural,557,34,51
30,streetscapes,1,Low-Activity,Biodiversity,0,0,0
31,streetscapes,2,Economic-Only,Social + Cultural,587,33,60
32,streetscapes,1,Socio-Economic,Cultural Activities,588,0,58
33,streetscapes,1,Cultural-Economic,Social Activities,609,34,0
34,streetscapes,1,Low-Activity,Biodiversity,0,0,0
35,streetscapes,1,Economic-Only,Social + Cultural,732,43,65
36,streetscapes,1,Economic-Only,Social + Cultural,722,41,66
37,streetscapes,2,Low-Activity,Biodiversity,0,0,0
38,streetscapes,2,Low-Activity,Biodiversity,0,0,0
39,streetscapes,1,Economic-Only,Social + Cultural,724,36,46
40,streetscapes,1,Low-Activity,Biodiversity,0,0,0
41,streetscapes,2,Socio-Economic,Cultural Activities,688,0,45
42,streetscapes,2,Low-Activity,Biodiversity,0,0,0
43,streetscapes,2,Low-Activity,Biodiversity,0,0,0
44,streetscapes,1,Economic-Only,Social + Cultural,650,38,63
45,streetscapes,1,Economic-Only,Social + Cultural,734,40,65
46,streetscapes,1,Economic-Only,Social + Cultural,752,43,67
47,streetscapes,2,Low-Activity,Biodiversity,0,0,0
48,streetscapes,3,Low-Activity,Biodiversity,0,0,0
49,streetscapes,1,Economic-Only,Social + Cultural,772,50,56
50,streetscapes,2,Low-Activity,Biodiversity,0,0,0
51,streetscapes,2,Socio-Economic,Cultural Activities,718,0,45
52,streetscapes,2,Low-Activity,Biodiversity,0,0,0
53,streetscapes,2,Low-Activity,Biodiversity,0,0,0
54,streetscapes,3,Low-Activity,Biodiversity,0,0,0
55,streetscapes,2,Low-Activity,Biodiversity,0,0,0
56,streetscapes,3,Low-Activity,Biodiversity,0,0,0
57,streetscapes,3,Low-Activity,Biodiversity,0,0,0
88,green_spaces,3,Low-Activity,Biodiversity,0,0,0
89,green_spaces,3,Low-Activity,Biodiversity,0,0,0
90,green_spaces,3,Low-Activity,Biodiversity,0,0,0
91,green_spaces,3,Low-Activity,Biodiversity,0,0,0
92,green_spaces,1,Low-Activity,Biodiversity,0,0,0
93,green_spaces,3,Low-Activity,Biodiversity,0,0,0
94,green_spaces,3,Low-Activity,Biodiversity,0,0,0
95,green_spaces,2,Low-Activity,Biodiversity,0,0,0
96,green_spaces,3,Low-Activity,Biodiversity,0,0,0
97,green_spaces,2,Low-Activity,Biodiversity,0,0,0
98,green_spaces,1,Economic-Only,Social + Cultural,442,14,22
99,green_spaces,1,Economic-Only,Social + Cultural,833,19,29
100,green_spaces,3,Low-Activity,Biodiversity,0,0,0
101,green_spaces,4,Low-Activity,Biodiversity,0,0,0
102,green_spaces,2,Low-Activity,Biodiversity,0,0,0
103,green_spaces,2,Low-Activity,Biodiversity,0,0,0
104,green_spaces,3,Low-Activity,Biodiversity,0,0,0
105,green_spaces,3,Low-Activity,Biodiversity,0,0,0
106,green_spaces,3,Low-Activity,Biodiversity,0,0,0
107,green_spaces,1,Low-Activity,Biodiversity,0,0,0
108,green_spaces,1,Low-Activity,Biodiversity,0,0,0
109,green_spaces,3,Low-Activity,Biodiversity,0,0,0
110,green_spaces,1,Low-Activity,Biodiversity,0,0,0
111,green_spaces,3,Low-Activity,Biodiversity,0,0,0
112,green_spaces,3,Low-Activity,Biodiversity,0,0,0
113,green_spaces,3,Low-Activity,Biodiversity,0,0,0
114,green_spaces,3,Low-Activity,Biodiversity,0,0,0
115,green_spaces,3,Low-Activity,Biodiversity,0,0,0
116,green_spaces,3,Low-Activity,Biodiversity,0,0,0
117,green_spaces,1,Economic-Only,Social + Cultural,715,43,68
118,green_spaces,3,Low-Activity,Biodiversity,0,0,0
119,green_spaces,2,Low-Activity,Biodiversity,0,0,0
120,green_spaces,1,Low-Activity,Biodiversity,0,0,0
121,green_spaces,1,Low-Activity,Biodiversity,0,0,0
122,green_spaces,3,Low-Activity,Biodiversity,0,0,0
123,green_spaces,3,Low-Activity,Biodiversity,0,0,0
124,green_spaces,2,Economic-Only,Social + Cultural,352,12,17
125,green_spaces,1,Low-Activity,Biodiversity,0,0,0
